date,price
2017/1/1,993.0
2017/1/2,1011.5
2017/1/3,1020.7
2017/1/4,1130.3
2017/1/5,1007.0
2017/1/6,895.7
2017/1/7,909.0
2017/1/8,923.3
2017/1/9,902.7
2017/1/10,907.0
2017/1/11,795.8
2017/1/12,812.3
2017/1/13,831.4
2017/1/14,828.0
2017/1/15,833.3
2017/1/16,834.4
2017/1/17,906.0
2017/1/18,888.0
2017/1/19,902.9
2017/1/20,894.3
2017/1/21,925.1
2017/1/22,931.2
2017/1/23,910.7
2017/1/24,887.0
2017/1/25,896.0
2017/1/26,917.0
2017/1/27,922.6
2017/1/28,925.0
2017/1/29,916.5
2017/1/30,923.2
2017/1/31,970.0
2017/2/1,992.8
2017/2/2,1008.4
2017/2/3,1018.0
2017/2/4,1035.5
2017/2/5,1016.3
2017/2/6,1022.6
2017/2/7,1054.0
2017/2/8,1056.7
2017/2/9,994.2
2017/2/10,1002.0
2017/2/11,1018.7
2017/2/12,1010.0
2017/2/13,1002.8
2017/2/14,1013.9
2017/2/15,1014.5
2017/2/16,1038.9
2017/2/17,1057.3
2017/2/18,1062.2
2017/2/19,1059.9
2017/2/20,1089.8
2017/2/21,1128.3
2017/2/22,1128.7
2017/2/23,1186.9
2017/2/24,1186.9
2017/2/25,1158.0
2017/2/26,1184.9
2017/2/27,1195.8
2017/2/28,1195.1
2017/3/1,1230.0
2017/3/2,1269.2
2017/3/3,1292.9
2017/3/4,1274.0
2017/3/5,1279.0
2017/3/6,1285.0
2017/3/7,1237.4
2017/3/8,1150.2
2017/3/9,1197.3
2017/3/10,1109.0
2017/3/11,1188.1
2017/3/12,1235.6
2017/3/13,1245.5
2017/3/14,1247.4
2017/3/15,1263.0
2017/3/16,1175.1
2017/3/17,1069.6
2017/3/18,970.0
2017/3/19,1019.5
2017/3/20,1045.0
2017/3/21,1114.4
2017/3/22,1034.6
2017/3/23,1025.1
2017/3/24,934.9
2017/3/25,963.7
2017/3/26,973.1
2017/3/27,1042.1
2017/3/28,1045.4
2017/3/29,1043.3
2017/3/30,1042.3
2017/3/31,1089.0
2017/4/1,1092.0
2017/4/2,1114.0
2017/4/3,1152.6
2017/4/4,1144.0
2017/4/5,1133.0
2017/4/6,1192.3
2017/4/7,1194.0
2017/4/8,1184.5
2017/4/9,1211.0
2017/4/10,1210.0
2017/4/11,1224.0
2017/4/12,1214.2
2017/4/13,1177.1
2017/4/14,1173.7
2017/4/15,1178.8
2017/4/16,1178.0
2017/4/17,1189.9
2017/4/18,1201.9
2017/4/19,1214.2
2017/4/20,1236.2
2017/4/21,1250.0
2017/4/22,1247.0
2017/4/23,1252.0
2017/4/24,1257.3
2017/4/25,1281.2
2017/4/26,1298.4
2017/4/27,1349.3
2017/4/28,1353.3
2017/4/29,1365.4
2017/4/30,1384.6
2017/5/1,1436.5
2017/5/2,1472.0
2017/5/3,1533.0
2017/5/4,1563.4
2017/5/5,1551.3
2017/5/6,1585.4
2017/5/7,1609.6
2017/5/8,1713.0
2017/5/9,1720.4
2017/5/10,1795.0
2017/5/11,1837.9
2017/5/12,1695.6
2017/5/13,1792.7
2017/5/14,1800.0
2017/5/15,1747.8
2017/5/16,1777.5
2017/5/17,1813.2
2017/5/18,1899.2
2017/5/19,1976.2
2017/5/20,2058.9
2017/5/21,2057.0
2017/5/22,2123.3
2017/5/23,2272.8
2017/5/24,2433.0
2017/5/25,2355.0
2017/5/26,2272.7
2017/5/27,2100.0
2017/5/28,2232.8
2017/5/29,2279.5
2017/5/30,2191.6
2017/5/31,2303.3
2017/6/1,2420.0
2017/6/2,2479.0
2017/6/3,2548.1
2017/6/4,2521.4
2017/6/5,2698.0
2017/6/6,2871.3
2017/6/7,2685.6
2017/6/8,2799.7
2017/6/9,2811.4
2017/6/10,2931.1
2017/6/11,2999.0
2017/6/12,2655.0
2017/6/13,2708.8
2017/6/14,2813.8

